Iteration,BestPathLength,BestPathCost,NormBestCost,GlobalBestLength,GlobalBestCost,ImprovementFactor,Alpha,Beta,Evaporation,Deposit
1,27,31.90,0.5918,27,31.90,1.6897,1.00,3.00,0.50,10.00
2,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.50,10.00
3,27,31.20,0.5788,23,28.90,1.7276,1.00,3.00,0.50,10.00
4,27,31.90,0.5918,23,28.90,1.6897,1.00,3.00,0.50,10.00
5,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.50,10.00
6,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.50,10.00
7,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.50,10.00
8,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.50,10.00
9,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
10,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
11,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
12,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
13,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
14,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
15,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
16,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
17,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
18,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
19,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
20,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
21,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
22,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
23,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
24,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
25,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
26,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
27,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
28,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
29,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
30,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
31,22,26.90,0.4991,22,26.90,2.0037,1.00,3.00,0.50,10.00
32,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
33,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
34,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
35,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
36,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
37,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
38,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
39,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
40,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
41,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
42,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
43,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
44,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
45,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
46,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
47,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
48,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
49,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
50,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
Final,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.50,10.00
